Year,Emirate_Ar,Emirate_En,Category_Type_Ar,Category_Type_En,Measurement_unit_Ar,Measurement_unit_En,??? ??????,Station Name,??? ???? ?????? ,Type of Location ,Value
2006,???,Dubai,????? ??? ????? ??????? (CO),Carbon Monoxide (CO) Concentration,???????/??? ????,mg/m3,???? ,Deira,????? ,Residential,0.91591
2006,???,Dubai,????? ??? ????? ??????? (CO),Carbon Monoxide (CO) Concentration,???????/??? ????,mg/m3,????? ,Al Safa,????? ,Residential,0.80142
2006,???,Dubai,????? ??? ????? ??????? (CO),Carbon Monoxide (CO) Concentration,???????/??? ????,mg/m3,??????? , Al Karama,????? ,Residential,1.0304
2006,???,Dubai,????? ??? ????? ??????? (CO),Carbon Monoxide (CO) Concentration,???????/??? ????,mg/m3,?????? ,Al Mushref,????? / ?????,Residential / Park,-
2006,???????,Fujairah,????? ??? ????? ??????? (CO),Carbon Monoxide (CO) Concentration,???????/??? ????,mg/m3,?????,Sakamkam,??????? / ?????,Urban/Residential,1.225031111
2006,???????,Fujairah,????? ??? ????? ??????? (CO),Carbon Monoxide (CO) Concentration,???????/??? ????,mg/m3,??????,Airport,??????,Industrial,1.144888889
2007,??????,Abu Dhabi  ,????? ??? ????? ??????? (CO),Carbon Monoxide (CO) Concentration,???????/??? ????,mg/m4,???? ?????,Hamdan Street,???? ??????,Beside Road,1.6
2007,??????,Abu Dhabi  ,????? ??? ????? ??????? (CO),Carbon Monoxide (CO) Concentration,???????/??? ????,mg/m5,???? ????? ,Al-Ain Street,???? ??????,Beside Road,2.2
2007,???,Dubai,????? ??? ????? ??????? (CO),Carbon Monoxide (CO) Concentration,???????/??? ????,mg/m3,???? ,Deira,????? ,Residential,0.686933333
2007,???,Dubai,????? ??? ????? ??????? (CO),Carbon Monoxide (CO) Concentration,???????/??? ????,mg/m3,????? ,Al Safa,????? ,Residential,0.686933333
2007,???,Dubai,????? ??? ????? ??????? (CO),Carbon Monoxide (CO) Concentration,???????/??? ????,mg/m3,??????? , Al Karama,????? ,Residential,0.801422222
2007,???,Dubai,????? ??? ????? ??????? (CO),Carbon Monoxide (CO) Concentration,???????/??? ????,mg/m3,?????? ,Al Mushref,????? / ?????,Residential / Park,-
2007,???????,Fujairah,????? ??? ????? ??????? (CO),Carbon Monoxide (CO) Concentration,???????/??? ????,mg/m3,?????,Sakamkam,??????? / ?????,Urban/Residential,1.488355556
2007,???????,Fujairah,????? ??? ????? ??????? (CO),Carbon Monoxide (CO) Concentration,???????/??? ????,mg/m3,??????,Airport,??????,Industrial,1.259377778
2008,??????,Abu Dhabi  ,????? ??? ????? ??????? (CO),Carbon Monoxide (CO) Concentration,???????/??? ????,mg/m6,???? ?????,Hamdan Street,???? ??????,Beside Road,1.4
2008,??????,Abu Dhabi  ,????? ??? ????? ??????? (CO),Carbon Monoxide (CO) Concentration,???????/??? ????,mg/m7,???? ????? ,Al-Ain Street,???? ??????,Beside Road,2.2
2008,????? ,Ajman,????? ??? ????? ??????? (CO),Carbon Monoxide (CO) Concentration,???????/??? ????,mg/m3,---,---,---,---,0.858666667
2008,???,Dubai,????? ??? ????? ??????? (CO),Carbon Monoxide (CO) Concentration,???????/??? ????,mg/m3,???? ,Deira,????? ,Residential,0.572444444
2008,???,Dubai,????? ??? ????? ??????? (CO),Carbon Monoxide (CO) Concentration,???????/??? ????,mg/m3,????? ,Al Safa,????? ,Residential,0.686933333
2008,???,Dubai,????? ??? ????? ??????? (CO),Carbon Monoxide (CO) Concentration,???????/??? ????,mg/m3,??????? , Al Karama,????? ,Residential,0.572444444
2008,???,Dubai,????? ??? ????? ??????? (CO),Carbon Monoxide (CO) Concentration,???????/??? ????,mg/m3,?????? ,Al Mushref,????? / ?????,Residential / Park,-
2008,???????,Fujairah,????? ??? ????? ??????? (CO),Carbon Monoxide (CO) Concentration,???????/??? ????,mg/m3,?????,Sakamkam,??????? / ?????,Urban/Residential,0.572444444
2008,???????,Fujairah,????? ??? ????? ??????? (CO),Carbon Monoxide (CO) Concentration,???????/??? ????,mg/m3,??????,Airport,??????,Industrial,0.915911111
